book_id,title,authors,image_url
275247,Little Lord Fauntleroy,Frances Hodgson Burnett,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
22609310,Confess,Colleen Hoover,https://images.gr-assets.com/books/1412280173m/22609310.jpg
23734628,Carry On,Rainbow Rowell,https://images.gr-assets.com/books/1429810397m/23734628.jpg
15808287,Mrs. Lincoln's Dressmaker,Jennifer Chiaverini,https://images.gr-assets.com/books/1350586527m/15808287.jpg
760941,When Rabbit Howls,"Truddi Chase, Robert A. Phillips Jr.",https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
102525,"H is for Homicide (Kinsey Millhone, #8)",Sue Grafton,https://images.gr-assets.com/books/1315138195m/102525.jpg
43345,A Cry In The Night,Mary Higgins Clark,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
39926,The Beauty Myth,Naomi Wolf,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
682920,"The Little Mouse, the Red Ripe Strawberry, and the Big Hungry Bear","Don    Wood, Audrey Wood",https://images.gr-assets.com/books/1413750983m/682920.jpg
23995231,Circling the Sun,Paula McLain,https://images.gr-assets.com/books/1426531608m/23995231.jpg
478894,"The Sword of Shannara Trilogy (Shannara, #1-3)",Terry Brooks,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
6400090,The Last Song,Nicholas Sparks,https://images.gr-assets.com/books/1286549186m/6400090.jpg
421549,Certain Girls (Cannie Shapiro #2),Jennifer Weiner,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
104734,The Vagina Monologues,"Eve Ensler, Gloria Steinem",https://images.gr-assets.com/books/1327243997m/104734.jpg
139176,"The Quiche of Death (Agatha Raisin, #1)",M.C. Beaton,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
204779,The Masque of the Red Death,Edgar Allan Poe,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
3124122,"The Charlemagne Pursuit (Cotton Malone, #4)",Steve Berry,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
1335019,Necronomicon: The Best Weird Tales,"H.P. Lovecraft, Les Edwards, Stephen Jones",https://images.gr-assets.com/books/1264059645m/1335019.jpg
128752,"Bare Bones (Temperance Brennan, #6)",Kathy Reichs,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
15954540,"The Wretched of Muirwood (Legends of Muirwood, #1)",Jeff Wheeler,https://images.gr-assets.com/books/1356123105m/15954540.jpg
95708,The Now Habit: A Strategic Program for Overcoming Procrastination and Enjoying Guilt-Free Play,Neil A. Fiore,https://images.gr-assets.com/books/1421795425m/95708.jpg
1009996,Artisan Bread in Five Minutes a Day: The Discovery That Revolutionizes Home Baking,"Jeff Hertzberg, Zoë François, Mark Luinenburg",https://images.gr-assets.com/books/1317064461m/1009996.jpg
21943246,Black Ice,Becca Fitzpatrick,https://images.gr-assets.com/books/1414369023m/21943246.jpg
2508164,"Ghostgirl (Ghostgirl, #1)",Tonya Hurley,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
133906,The Collected Poems,Langston Hughes,https://images.gr-assets.com/books/1367492866m/133906.jpg
67863,Animal-Speak: The Spiritual & Magical Powers of Creatures Great & Small,"Ted Andrews, Winston Allen, Margaret K. Andrews",https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
40102,Blink: The Power of Thinking Without Thinking,Malcolm Gladwell,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
18336965,My Heart and Other Black Holes,Jasmine Warga,https://images.gr-assets.com/books/1415056175m/18336965.jpg
